,Skip,Loss,train-acc,test-acc
0,0.0,1.7549400012850762,36.730000000000004,43.47
1,0.0,1.210717064383626,57.036,64.66
2,0.0,0.936034096750617,67.418,75.71
3,1.0,0.7639774295985698,73.48,78.19
4,4.0,0.6607011798761785,77.366,77.74
5,6.0,0.5824627835527062,79.928,83.45
6,11.0,0.5176503794573247,82.232,82.93
7,22.0,0.47316170455552636,83.664,82.82
8,42.0,0.4343036793118343,84.966,84.68
9,70.0,0.40289731170609594,86.344,86.08
10,109.0,0.376429250951577,87.054,84.88
11,121.0,0.34953109461111015,88.07199999999999,85.2
12,154.0,0.3318367182250135,88.63,87.46
13,171.0,0.30470605440270154,89.454,88.1
14,225.0,0.2867844475982711,90.032,87.93
15,245.0,0.2724354664367158,90.52,88.12
16,300.0,0.26058225729586554,91.074,87.02
17,318.0,0.24784806345936378,91.432,89.82
18,348.0,0.23425849624057302,91.718,88.45
19,417.0,0.22493293420770205,92.292,85.18
20,446.0,0.14907584958799416,94.97,91.69
21,1497.0,0.12981837936521043,95.608,91.91
22,1546.0,0.12232895846568863,95.93199999999999,91.82
23,1560.0,0.11746655513787409,96.1,92.04
24,1618.0,0.11042231356136617,96.38,91.82
25,1626.0,0.10723738009091467,96.504,92.04
26,1637.0,0.10064905518507003,96.666,91.79
27,1702.0,0.10098124727424437,96.658,91.99
28,1653.0,0.09619585745492076,96.784,91.98
29,1708.0,0.09205253963634896,97.05,92.23
